pose_aa数据（31个link，每个的轴角向量(x, y, z)）
-0.226354 0.036474 3.037402
-0.000000 -0.000000 -0.095454
-0.000000 -0.246631 -0.000000
-0.000000 -0.236412 -0.000000
-1.569964 -0.000000 -0.000000
-0.000000 -0.016765 -0.000000
-0.000000 -0.000000 -0.287787
-0.000000 -0.221339 -0.000000
1.628513 0.000000 0.000000
-0.000000 -0.174890 -0.000000
0.000000 0.000000 0.447417
-0.000000 -0.000000 -0.052058
-0.000000 -0.194000 -0.000000
0.145610 0.000000 0.000000
0.000000 0.000000 0.877848
0.000000 0.157066 0.000000
0.000000 0.160133 0.000000
0.000000 0.000000 0.000000
-0.000000 -0.204012 -0.000000
0.038616 0.000000 0.000000
-0.000000 -0.000000 -0.358496
0.000000 0.185128 0.000000
0.000000 0.167866 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
