pose_aa第一帧数据（31个关节，每个关节的轴角向量(x, y, z)）
-0.228936 -0.014829 2.787656
0.000000 0.000000 0.095560
-0.000000 -0.197563 -0.000000
-0.000000 -0.204135 -0.000000
-1.552648 -0.000000 -0.000000
-0.000000 -0.370622 -0.000000
-0.000000 -0.000000 -0.237888
-0.000000 -0.244601 -0.000000
1.595193 0.000000 0.000000
-0.000000 -0.694768 -0.000000
0.000000 0.000000 0.291699
0.000000 0.000000 0.120425
-0.000000 -0.194572 -0.000000
0.155894 0.000000 0.000000
0.000000 0.000000 0.733450
0.000000 0.140021 0.000000
-0.000000 -0.023288 -0.000000
0.000000 0.000000 0.000000
-0.000000 -0.255195 -0.000000
0.020766 0.000000 0.000000
-0.000000 -0.000000 -0.285211
0.000000 0.194046 0.000000
-0.000000 -0.167964 -0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
