root_rot数据，每个的轴角向量(x, y, z)）
-0.074226 0.011961 0.996025 0.047757
-0.074033 0.010693 0.996010 0.048668
-0.074374 0.010360 0.996033 0.047734
-0.075426 0.010483 0.995868 0.049469
-0.076891 0.011548 0.995690 0.050545
-0.079256 0.011751 0.995492 0.050760
-0.082194 0.013497 0.995276 0.049884
-0.084984 0.016478 0.994979 0.050225
-0.086513 0.018551 0.994872 0.048996
-0.087020 0.019844 0.994780 0.049459
-0.086971 0.020104 0.994767 0.049700
-0.086141 0.019878 0.994801 0.050550
-0.086264 0.019240 0.994743 0.051719
-0.087243 0.018513 0.994626 0.052585
-0.088643 0.017678 0.994577 0.051453
-0.090678 0.018071 0.994369 0.051784
-0.092302 0.016802 0.994260 0.051438
-0.094348 0.016991 0.994058 0.051552
-0.097099 0.017505 0.993813 0.051009
-0.100543 0.018673 0.993536 0.049272
-0.103919 0.018827 0.993284 0.047265
-0.107704 0.019844 0.992913 0.046145
-0.112695 0.022290 0.992397 0.044170
-0.116288 0.024150 0.992014 0.042454
-0.120896 0.026955 0.991474 0.040452
-0.124721 0.029948 0.990945 0.039706
-0.126737 0.031687 0.990617 0.040135
-0.127859 0.033058 0.990217 0.045062
-0.127017 0.033406 0.989948 0.052472
-0.124401 0.032263 0.989795 0.061551
-0.120703 0.029891 0.989729 0.070523
-0.114617 0.026268 0.990191 0.075463
-0.107577 0.023132 0.990904 0.077468
-0.102645 0.021769 0.991257 0.079996
-0.099564 0.021154 0.991957 0.075241
-0.099662 0.021496 0.992441 0.068306
-0.101426 0.023889 0.992508 0.063804
-0.105378 0.027035 0.992412 0.057303
-0.109515 0.029197 0.992349 0.048973
-0.112506 0.028440 0.992468 0.039246
-0.108095 0.025749 0.993394 0.028637
-0.100705 0.020790 0.994483 0.020724
-0.090608 0.013494 0.995649 0.017063
-0.079490 0.005193 0.996660 0.017960
-0.068832 -0.001783 0.997198 0.029243
-0.058437 -0.008841 0.997374 0.041849
-0.048811 -0.014573 0.997311 0.052684
-0.031626 -0.022237 0.997057 0.066195
0.012135 0.027053 -0.996095 -0.083159
-0.006917 0.030163 -0.994742 -0.097629
-0.027132 0.035769 -0.992299 -0.115444
-0.044736 0.038575 -0.991213 -0.118354
-0.061343 0.040744 -0.990504 -0.116095
-0.073410 0.042874 -0.990242 -0.110421
-0.077614 0.043031 -0.990705 -0.103095
-0.072085 0.039990 -0.991285 -0.102753
-0.059252 0.035387 -0.992288 -0.102963
-0.045210 0.030684 -0.993295 -0.101876
-0.027252 0.026247 -0.994030 -0.102336
-0.006063 0.021305 -0.993995 -0.107157
0.012412 0.016883 -0.993217 -0.114369
0.026882 0.012587 -0.992615 -0.117618
-0.035897 -0.009425 0.992473 0.116702
-0.042789 -0.008185 0.992345 0.115559
-0.049020 -0.003510 0.992569 0.111314
-0.054405 0.000419 0.992465 0.109785
-0.057298 0.002861 0.992883 0.104361
-0.059786 0.002780 0.993580 0.096004
-0.064742 0.002550 0.994250 0.085262
-0.069815 0.003103 0.994491 0.078126
-0.074379 0.003051 0.994725 0.070573
-0.079776 -0.001680 0.994478 0.068173
-0.088415 -0.002096 0.993954 0.065064
-0.095252 -0.001727 0.993153 0.067607
-0.101011 0.001219 0.992430 0.069842
-0.104620 0.002711 0.992063 0.069706
-0.104784 0.003006 0.992228 0.067046
-0.102294 0.000403 0.992622 0.065087
-0.098013 -0.003085 0.993263 0.061747
-0.093747 -0.004745 0.993776 0.059989
-0.090459 -0.004916 0.994015 0.061055
-0.088082 -0.004091 0.994109 0.063018
-0.088381 -0.003497 0.994018 0.064076
-0.089575 -0.001564 0.993656 0.067978
-0.091082 0.001132 0.993386 0.069904
-0.093153 0.003682 0.993084 0.071369
-0.092978 0.004355 0.992914 0.073878
-0.093094 0.003887 0.992687 0.076754
-0.093791 0.001594 0.992323 0.080594
-0.094213 0.000180 0.991801 0.086335
-0.096315 -0.001309 0.991367 0.088953
-0.097738 -0.003638 0.991009 0.091295
-0.097208 -0.006351 0.991049 0.091282
-0.098547 -0.008012 0.991394 0.085809
-0.098673 -0.008598 0.991395 0.085594
-0.097394 -0.008558 0.991773 0.082627
-0.095806 -0.007355 0.992071 0.081003
-0.096987 -0.006715 0.992054 0.079855
-0.096418 -0.007617 0.992315 0.077181
-0.096643 -0.009615 0.992509 0.074119
-0.096253 -0.011107 0.992762 0.070967
-0.095428 -0.013308 0.993046 0.067642
-0.093739 -0.015579 0.993543 0.061995
-0.091926 -0.017619 0.993949 0.057489
-0.089474 -0.018767 0.994348 0.053989
-0.087317 -0.015666 0.994741 0.051198
-0.083773 -0.012566 0.995152 0.049967
-0.081626 -0.008703 0.995488 0.047585
-0.079411 -0.005969 0.995711 0.047099
-0.077127 -0.003167 0.995859 0.048027
-0.075217 -0.001094 0.995856 0.051107
-0.073045 0.000395 0.995768 0.055767
-0.071707 0.001378 0.995444 0.062834
-0.069898 0.002560 0.995232 0.067976
-0.067357 0.003522 0.995177 0.071232
-0.065433 0.004816 0.994983 0.075527
-0.064585 0.005400 0.994752 0.079170
-0.064221 0.006175 0.994517 0.082300
-0.064521 0.006530 0.994280 0.084868
