root_trans_offset数据，每个的轴角向量(x, y, z)）
0.960646 0.345626 0.714336
0.961892 0.345552 0.714281
0.962948 0.345391 0.714515
0.964027 0.344859 0.715038
0.964716 0.344296 0.715338
0.964810 0.343826 0.715677
0.964915 0.343566 0.715597
0.964629 0.342753 0.715224
0.964523 0.342114 0.714765
0.964582 0.341566 0.714585
0.964676 0.341069 0.714680
0.965339 0.340409 0.714858
0.965486 0.340077 0.715070
0.965253 0.340187 0.715128
0.965648 0.340034 0.714956
0.966351 0.340472 0.714840
0.966802 0.340748 0.714731
0.967537 0.340893 0.714674
0.968476 0.340917 0.714489
0.969455 0.341068 0.714521
0.971175 0.341239 0.714678
0.973666 0.341774 0.714472
0.976079 0.341909 0.714544
0.978649 0.342102 0.714744
0.981330 0.342834 0.714816
0.982337 0.343697 0.714973
0.984207 0.345608 0.714986
0.986080 0.347793 0.715003
0.987068 0.350147 0.715370
0.988183 0.352723 0.715315
0.986367 0.356343 0.713774
0.985999 0.361655 0.712094
0.981956 0.365108 0.712225
0.980577 0.367932 0.712629
0.979561 0.370797 0.712421
0.976946 0.372971 0.712621
0.972947 0.374082 0.712238
0.967580 0.374796 0.712027
0.960841 0.377628 0.710074
0.949775 0.378043 0.709434
0.937928 0.379776 0.706353
0.922305 0.380936 0.702895
0.905447 0.379656 0.699378
0.889285 0.376628 0.694360
0.874547 0.373115 0.688295
0.862689 0.373484 0.684649
0.854341 0.375073 0.682007
0.842996 0.373713 0.680622
0.831626 0.374036 0.680474
0.821977 0.376228 0.680241
0.815264 0.377203 0.678217
0.813363 0.379506 0.675500
0.811113 0.380335 0.674435
0.806374 0.380447 0.676681
0.805442 0.379754 0.679730
0.806200 0.378589 0.684270
0.805221 0.378266 0.690746
0.810130 0.378831 0.696193
0.813903 0.380736 0.699012
0.821055 0.383676 0.702630
0.827910 0.387365 0.704364
0.835978 0.391315 0.704611
0.844977 0.394248 0.702710
0.853413 0.395786 0.700780
0.860268 0.397222 0.700353
0.867146 0.400103 0.702036
0.872840 0.405906 0.704025
0.881489 0.413659 0.704741
0.891802 0.423833 0.704367
0.903347 0.432934 0.703420
0.919760 0.443136 0.699916
0.937122 0.451702 0.693510
0.952576 0.461950 0.684896
0.970933 0.469060 0.674443
0.988075 0.475387 0.666177
1.002242 0.479056 0.665018
1.012666 0.483148 0.668641
1.020463 0.485175 0.676783
1.027626 0.484610 0.686933
1.033904 0.483860 0.696892
1.036891 0.482023 0.703664
1.040709 0.479561 0.708600
1.041236 0.478841 0.710453
1.042534 0.475959 0.711245
1.042713 0.472180 0.710867
1.040817 0.468287 0.710054
1.038680 0.463262 0.708722
1.035311 0.456291 0.707358
1.028364 0.448716 0.704603
1.021311 0.441201 0.700932
1.014106 0.432701 0.696238
1.008200 0.424383 0.692404
1.004160 0.417666 0.692324
1.002606 0.411066 0.697282
0.999108 0.402803 0.703354
0.994728 0.397357 0.709796
0.991548 0.391920 0.715389
0.988946 0.387046 0.719088
0.987246 0.383844 0.720636
0.985321 0.381790 0.720669
0.981869 0.380359 0.719074
0.978951 0.380111 0.716993
0.977505 0.380198 0.715595
0.974127 0.379855 0.714691
0.971434 0.380784 0.714548
0.967905 0.382638 0.714502
0.964781 0.383832 0.715446
0.960363 0.384862 0.716672
0.955721 0.386734 0.717589
0.952864 0.389028 0.717446
0.949052 0.390382 0.716311
0.945933 0.391533 0.715298
0.942006 0.393451 0.713669
0.939443 0.395473 0.712811
0.937070 0.396854 0.712575
0.935354 0.398280 0.712704
0.933497 0.399108 0.713426
0.931077 0.399929 0.713593
0.928866 0.400651 0.713538
